name,link,city,area,cuisine,rating,votes,has_online_delivery,has_table_booking,price
Pizza Hut,https://www.swiggy.com/dapi/menu/pl?restaurantId=10584,bangalore,Indiranagar,Pizzas,4.3,20K+,1,0,₹300 for two
Burger King,https://www.swiggy.com/dapi/menu/pl?restaurantId=5937,bangalore,Indiranagar,"Burgers, American",4.3,81K+,1,0,₹350 for two
Domino's Pizza,https://www.swiggy.com/dapi/menu/pl?restaurantId=23802,bangalore,Indiranagar,"Pizzas, Italian, Pastas, Desserts",4.3,22K+,1,0,₹400 for two
KFC,https://www.swiggy.com/dapi/menu/pl?restaurantId=693653,bangalore,HAL 2nd stage,"Burgers, Fast Food, Rolls & Wraps",4.2,4.7K+,1,0,₹400 for two
McDonald's,https://www.swiggy.com/dapi/menu/pl?restaurantId=23681,bangalore,"Ashwini Complex,Indiranagar","Burgers, Beverages, Cafe, Desserts",4.4,50K+,1,0,₹400 for two
Paris Panini - Gourmet Sandwiches & Wraps,https://www.swiggy.com/dapi/menu/pl?restaurantId=8241,bangalore,Indiranagar,"sandwich, wrap, Fast Food, Pastas, Italian, Salads, Healthy Food, Desserts, Continental",4.6,36K+,1,0,₹500 for two
Theobroma,https://www.swiggy.com/dapi/menu/pl?restaurantId=5167,bangalore,Indiranagar,"Bakery, Desserts, Beverages",4.6,40K+,1,0,₹400 for two
Starbucks Coffee,https://www.swiggy.com/dapi/menu/pl?restaurantId=70248,bangalore,Indiranagar,"Beverages, Cafe, Snacks, Desserts, Bakery, Ice Cream",4.2,9.2K+,1,0,₹400 for two
The Hole in the Wall Cafe,https://www.swiggy.com/dapi/menu/pl?restaurantId=134975,bangalore,Indiranagar,American,4.5,16K+,1,0,₹300 for two
Bakingo,https://www.swiggy.com/dapi/menu/pl?restaurantId=457308,bangalore,Indiranagar,"Bakery, Desserts, Beverages, Snacks",4.6,10K+,1,0,₹300 for two
Chaayos Chai+Snacks=Relax,https://www.swiggy.com/dapi/menu/pl?restaurantId=530296,bangalore,INDIRANAGAR,"Bakery, Beverages, Chaat, Desserts, Home Food, Italian, Maharashtrian, Snacks, Street Food, Sweets",4.6,2.4K+,1,0,₹250 for two
Samosa Party,https://www.swiggy.com/dapi/menu/pl?restaurantId=23423,bangalore,Jeevan Bima Nagar,"Fast Food, Snacks, Beverages, Chaat, North Indian, Street Food, Sweets, Desserts, Punjabi, Bakery",4.4,49K+,1,0,₹150 for two
Third Wave Coffee,https://www.swiggy.com/dapi/menu/pl?restaurantId=215852,bangalore,Indiranagar,"Beverages, Bakery, Continental",4.4,6.4K+,1,0,₹400 for two
"The Dessert Heaven - Pastry, Brownie and Cakes",https://www.swiggy.com/dapi/menu/pl?restaurantId=442789,bangalore,Indira Nagar,"Bakery, Desserts, Sweets, Ice Cream",4.3,356,1,0,₹200 for two
Aubree,https://www.swiggy.com/dapi/menu/pl?restaurantId=585078,bangalore,Indiranagar,"Desserts, Bakery",4.5,2.3K+,1,0,₹800 for two
Magnolia Bakery,https://www.swiggy.com/dapi/menu/pl?restaurantId=444178,bangalore,Indiranagar,"Bakery, Desserts, Ice Cream",4.7,16K+,1,0,₹500 for two
Asha Sweet Center - Since 1951,https://www.swiggy.com/dapi/menu/pl?restaurantId=42149,bangalore,Indiranagar,"Sweets, Snacks, Fast Food, Bakery, Beverages, Chaat, Thalis, North Indian, Chinese",4.6,16K+,1,0,₹250 for two
The Belgian Waffle Co.,https://www.swiggy.com/dapi/menu/pl?restaurantId=614416,bangalore,Indiranagar,"Waffle, Desserts, Ice Cream, Beverages",4.4,3.4K+,1,0,₹200 for two
Cheesecakes By CakeZone,https://www.swiggy.com/dapi/menu/pl?restaurantId=581477,bangalore,Indira Nagar,"Desserts, Bakery",4.3,94,1,0,₹200 for two
Lo!  Low Carb And Keto Foods,https://www.swiggy.com/dapi/menu/pl?restaurantId=224120,bangalore,Indiranagar,"Healthy Food, Keto, North Indian, Continental",4.3,5.8K+,1,0,₹150 for two
Pizza Hut,https://www.swiggy.com/dapi/menu/pl?restaurantId=10584,bangalore,Indiranagar,Pizzas,4.3,20K+,1,0,₹300 for two
Mealy - Your Everyday Meal,https://www.swiggy.com/dapi/menu/pl?restaurantId=1098430,bangalore,Indiranagar,"North Indian, Street Food, Beverages",4.2,50,1,0,₹200 for two
Nizaams Kaati Rolls,https://www.swiggy.com/dapi/menu/pl?restaurantId=671051,bangalore,Domlur,"Fast Food, Kebabs",4.5,1.6K+,1,0,₹400 for two
Moti's Kitchen,https://www.swiggy.com/dapi/menu/pl?restaurantId=372,bangalore,Indiranagar,"Kerala, South Indian",4.6,86K+,1,0,₹200 for two
KFC,https://www.swiggy.com/dapi/menu/pl?restaurantId=693653,bangalore,HAL 2nd stage,"Burgers, Fast Food, Rolls & Wraps",4.2,4.7K+,1,0,₹400 for two
Burger King,https://www.swiggy.com/dapi/menu/pl?restaurantId=5937,bangalore,Indiranagar,"Burgers, American",4.3,81K+,1,0,₹350 for two
McDonald's,https://www.swiggy.com/dapi/menu/pl?restaurantId=23681,bangalore,"Ashwini Complex,Indiranagar","Burgers, Beverages, Cafe, Desserts",4.4,50K+,1,0,₹400 for two
Domino's Pizza,https://www.swiggy.com/dapi/menu/pl?restaurantId=23802,bangalore,Indiranagar,"Pizzas, Italian, Pastas, Desserts",4.3,22K+,1,0,₹400 for two
Pizza Hut,https://www.swiggy.com/dapi/menu/pl?restaurantId=10584,bangalore,Indiranagar,Pizzas,4.3,20K+,1,0,₹300 for two
Burger King,https://www.swiggy.com/dapi/menu/pl?restaurantId=5937,bangalore,Indiranagar,"Burgers, American",4.3,81K+,1,0,₹350 for two
Domino's Pizza,https://www.swiggy.com/dapi/menu/pl?restaurantId=23802,bangalore,Indiranagar,"Pizzas, Italian, Pastas, Desserts",4.3,22K+,1,0,₹400 for two
KFC,https://www.swiggy.com/dapi/menu/pl?restaurantId=693653,bangalore,HAL 2nd stage,"Burgers, Fast Food, Rolls & Wraps",4.2,4.7K+,1,0,₹400 for two
McDonald's,https://www.swiggy.com/dapi/menu/pl?restaurantId=23681,bangalore,"Ashwini Complex,Indiranagar","Burgers, Beverages, Cafe, Desserts",4.4,50K+,1,0,₹400 for two
Paris Panini - Gourmet Sandwiches & Wraps,https://www.swiggy.com/dapi/menu/pl?restaurantId=8241,bangalore,Indiranagar,"sandwich, wrap, Fast Food, Pastas, Italian, Salads, Healthy Food, Desserts, Continental",4.6,36K+,1,0,₹500 for two
Theobroma,https://www.swiggy.com/dapi/menu/pl?restaurantId=5167,bangalore,Indiranagar,"Bakery, Desserts, Beverages",4.6,40K+,1,0,₹400 for two
Starbucks Coffee,https://www.swiggy.com/dapi/menu/pl?restaurantId=70248,bangalore,Indiranagar,"Beverages, Cafe, Snacks, Desserts, Bakery, Ice Cream",4.2,9.2K+,1,0,₹400 for two
The Hole in the Wall Cafe,https://www.swiggy.com/dapi/menu/pl?restaurantId=134975,bangalore,Indiranagar,American,4.5,16K+,1,0,₹300 for two
Bakingo,https://www.swiggy.com/dapi/menu/pl?restaurantId=457308,bangalore,Indiranagar,"Bakery, Desserts, Beverages, Snacks",4.6,10K+,1,0,₹300 for two
Chaayos Chai+Snacks=Relax,https://www.swiggy.com/dapi/menu/pl?restaurantId=530296,bangalore,INDIRANAGAR,"Bakery, Beverages, Chaat, Desserts, Home Food, Italian, Maharashtrian, Snacks, Street Food, Sweets",4.6,2.4K+,1,0,₹250 for two
Samosa Party,https://www.swiggy.com/dapi/menu/pl?restaurantId=23423,bangalore,Jeevan Bima Nagar,"Fast Food, Snacks, Beverages, Chaat, North Indian, Street Food, Sweets, Desserts, Punjabi, Bakery",4.4,49K+,1,0,₹150 for two
Third Wave Coffee,https://www.swiggy.com/dapi/menu/pl?restaurantId=215852,bangalore,Indiranagar,"Beverages, Bakery, Continental",4.4,6.4K+,1,0,₹400 for two
Subway,https://www.swiggy.com/dapi/menu/pl?restaurantId=809127,bangalore,Kempfort Mall,"sandwich, Salads, wrap, Healthy Food",4.4,2.7K+,1,0,₹350 for two
Aubree,https://www.swiggy.com/dapi/menu/pl?restaurantId=585078,bangalore,Indiranagar,"Desserts, Bakery",4.5,2.3K+,1,0,₹800 for two
Magnolia Bakery,https://www.swiggy.com/dapi/menu/pl?restaurantId=444178,bangalore,Indiranagar,"Bakery, Desserts, Ice Cream",4.7,16K+,1,0,₹500 for two
Asha Sweet Center - Since 1951,https://www.swiggy.com/dapi/menu/pl?restaurantId=42149,bangalore,Indiranagar,"Sweets, Snacks, Fast Food, Bakery, Beverages, Chaat, Thalis, North Indian, Chinese",4.6,16K+,1,0,₹250 for two
The Belgian Waffle Co.,https://www.swiggy.com/dapi/menu/pl?restaurantId=614416,bangalore,Indiranagar,"Waffle, Desserts, Ice Cream, Beverages",4.4,3.4K+,1,0,₹200 for two
Cheesecakes By CakeZone,https://www.swiggy.com/dapi/menu/pl?restaurantId=581477,bangalore,Indira Nagar,"Desserts, Bakery",4.3,94,1,0,₹200 for two
Lo!  Low Carb And Keto Foods,https://www.swiggy.com/dapi/menu/pl?restaurantId=224120,bangalore,Indiranagar,"Healthy Food, Keto, North Indian, Continental",4.3,5.8K+,1,0,₹150 for two
Pizza Hut,https://www.swiggy.com/dapi/menu/pl?restaurantId=10584,bangalore,Indiranagar,Pizzas,4.3,20K+,1,0,₹300 for two
Mealy - Your Everyday Meal,https://www.swiggy.com/dapi/menu/pl?restaurantId=1098430,bangalore,Indiranagar,"North Indian, Street Food, Beverages",4.2,50,1,0,₹200 for two
Nizaams Kaati Rolls,https://www.swiggy.com/dapi/menu/pl?restaurantId=671051,bangalore,Domlur,"Fast Food, Kebabs",4.5,1.6K+,1,0,₹400 for two
Moti's Kitchen,https://www.swiggy.com/dapi/menu/pl?restaurantId=372,bangalore,Indiranagar,"Kerala, South Indian",4.6,86K+,1,0,₹200 for two
KFC,https://www.swiggy.com/dapi/menu/pl?restaurantId=693653,bangalore,HAL 2nd stage,"Burgers, Fast Food, Rolls & Wraps",4.2,4.7K+,1,0,₹400 for two
Burger King,https://www.swiggy.com/dapi/menu/pl?restaurantId=5937,bangalore,Indiranagar,"Burgers, American",4.3,81K+,1,0,₹350 for two
McDonald's,https://www.swiggy.com/dapi/menu/pl?restaurantId=23681,bangalore,"Ashwini Complex,Indiranagar","Burgers, Beverages, Cafe, Desserts",4.4,50K+,1,0,₹400 for two
Domino's Pizza,https://www.swiggy.com/dapi/menu/pl?restaurantId=23802,bangalore,Indiranagar,"Pizzas, Italian, Pastas, Desserts",4.3,22K+,1,0,₹400 for two
Pizza Hut,https://www.swiggy.com/dapi/menu/pl?restaurantId=372897,bangalore,Whitefield,Pizzas,4.2,7.2K+,1,0,₹300 for two
KFC,https://www.swiggy.com/dapi/menu/pl?restaurantId=600204,bangalore,Whitefield,"Burgers, Fast Food, Rolls & Wraps",4.2,6.6K+,1,0,₹400 for two
Domino's Pizza,https://www.swiggy.com/dapi/menu/pl?restaurantId=79466,bangalore,Whitefield,"Pizzas, Italian, Pastas, Desserts",4.2,17K+,1,0,₹400 for two
Taco Bell,https://www.swiggy.com/dapi/menu/pl?restaurantId=427517,bangalore,Whitefield,"Mexican, Fast Food, Snacks",4.4,5.3K+,1,0,₹300 for two
Caterspoint,https://www.swiggy.com/dapi/menu/pl?restaurantId=788383,bangalore,Whitefield,"Salads, Healthy food, Snacks, pastas, Lebanese, Mexican, Desserts, Beverages",4.3,1.0K+,1,0,₹600 for two
Aubree,https://www.swiggy.com/dapi/menu/pl?restaurantId=653239,bangalore,Whitefield,"Desserts, Bakery",4.4,1.8K+,1,0,₹800 for two
Wendy's Burgers,https://www.swiggy.com/dapi/menu/pl?restaurantId=779830,bangalore,WHITEFIELD,"Burgers, American, Fast Food, Snacks",4.1,2.2K+,1,0,₹400 for two
Bakingo,https://www.swiggy.com/dapi/menu/pl?restaurantId=550793,bangalore,Whitefield,"Bakery, Desserts, Beverages, Snacks",4.6,6.5K+,1,0,₹299 for two
LeanCrust Pizza- ThinCrust Experts,https://www.swiggy.com/dapi/menu/pl?restaurantId=681438,bangalore,Whitefield,"Pizzas, Italian, Desserts",4.7,1.1K+,1,0,₹300 for two
Saladspoint,https://www.swiggy.com/dapi/menu/pl?restaurantId=806571,bangalore,Kadugodi,"Salads, Healthy food, Juices, Beverages",4.5,813,1,0,₹599 for two
Imperio Restaurant Since 2010,https://www.swiggy.com/dapi/menu/pl?restaurantId=28608,bangalore,Whitefield,"Biryani, Kebabs, South Indian, Tandoor, Beverages, Desserts, Ice Cream",4.2,56K+,1,0,₹500 for two
Grameen Kulfi,https://www.swiggy.com/dapi/menu/pl?restaurantId=393934,bangalore,Whitefield,"Ice Cream, Desserts",4.8,1.6K+,1,0,₹120 for two
ITC Sunfeast Baked Creations,https://www.swiggy.com/dapi/menu/pl?restaurantId=853142,bangalore,"Pattandur, Agrahara","bakery, dessert, Cakes & Pastries, Sweets",4.5,1.1K+,1,0,₹600 for two
Chaat Street,https://www.swiggy.com/dapi/menu/pl?restaurantId=25225,bangalore,Whitefield,"Snacks, Chaat, Street Food, Fast Food",4.3,16K+,1,0,₹200 for two
Popeyes,https://www.swiggy.com/dapi/menu/pl?restaurantId=861910,bangalore,Nexus Whitefield,"Burgers, Fast Food, Rolls & Wraps",4.2,2.6K+,1,0,₹350 for two
Madno - House of Sundaes and Waffles,https://www.swiggy.com/dapi/menu/pl?restaurantId=439641,bangalore,Whitefield,"Ice Cream, Desserts, Waffle",4,370,1,0,₹250 for two
SMOOR,https://www.swiggy.com/dapi/menu/pl?restaurantId=485215,bangalore,Whitefield,"Asian, Burgers, Italian, Thai, Sushi, Salads, Pastas, Pizzas, Mexican, Chinese",4.4,5.1K+,1,0,₹450 for two
Veg Meals By LunchBox,https://www.swiggy.com/dapi/menu/pl?restaurantId=263595,bangalore,Whitefield,"Thalis, North Indian, Biryani, South Indian, Desserts, Beverages",4.3,385,1,0,₹200 for two
Cheesecake & co.,https://www.swiggy.com/dapi/menu/pl?restaurantId=708971,bangalore,Whitefield,"Desserts, Bakery",4.6,1.8K+,1,0,₹500 for two
Home Plate by EatFit,https://www.swiggy.com/dapi/menu/pl?restaurantId=354616,bangalore,Whitefield,"North Indian, Home Food, Healthy Food, Indian, Punjabi, South Indian, Rajasthani, Maharashtrian, Snacks, Desserts",4,1.5K+,1,0,₹250 for two
Pizza Hut,https://www.swiggy.com/dapi/menu/pl?restaurantId=372897,bangalore,Whitefield,Pizzas,4.2,7.2K+,1,0,₹300 for two
Mealy - Your Everyday Meal,https://www.swiggy.com/dapi/menu/pl?restaurantId=1213861,bangalore,Whitefield,"Street Food, North Indian, Beverages",3.2,38,1,0,₹200 for two
KFC,https://www.swiggy.com/dapi/menu/pl?restaurantId=707063,bangalore,Varthur,"Burgers, Fast Food, Rolls & Wraps",3.9,4.9K+,1,0,₹400 for two
Domino's Pizza,https://www.swiggy.com/dapi/menu/pl?restaurantId=79466,bangalore,Whitefield,"Pizzas, Italian, Pastas, Desserts",4.2,17K+,1,0,₹400 for two
Nizaams Kaati Rolls,https://www.swiggy.com/dapi/menu/pl?restaurantId=859789,bangalore,Whitefield,"Fast Food, Rolls & Wraps, Kebabs",4.4,595,1,0,₹500 for two
Samosa Party,https://www.swiggy.com/dapi/menu/pl?restaurantId=312661,bangalore,Whitefield,"Fast Food, Snacks, Beverages, Chaat, North Indian, Street Food, Sweets, Desserts, Punjabi, Bakery",4.3,10K+,1,0,₹150 for two
Sandwich 2 Poha,https://www.swiggy.com/dapi/menu/pl?restaurantId=1072500,bangalore,Whitefield,"North Indian, sandwich",4.5,998,1,0,₹350 for two
California Burrito,https://www.swiggy.com/dapi/menu/pl?restaurantId=1027456,bangalore,Whitefield,"Mexican, American, Salads, Continental, Keto, Healthy Food, Beverages, Snacks, Desserts, Fast Food",4.6,2.6K+,1,0,₹250 for two
Pizza Hut,https://www.swiggy.com/dapi/menu/pl?restaurantId=372897,bangalore,Whitefield,Pizzas,4.2,7.2K+,1,0,₹300 for two
KFC,https://www.swiggy.com/dapi/menu/pl?restaurantId=600204,bangalore,Whitefield,"Burgers, Fast Food, Rolls & Wraps",4.2,6.6K+,1,0,₹400 for two
Domino's Pizza,https://www.swiggy.com/dapi/menu/pl?restaurantId=79466,bangalore,Whitefield,"Pizzas, Italian, Pastas, Desserts",4.2,17K+,1,0,₹400 for two
Taco Bell,https://www.swiggy.com/dapi/menu/pl?restaurantId=427517,bangalore,Whitefield,"Mexican, Fast Food, Snacks",4.4,5.3K+,1,0,₹300 for two
Caterspoint,https://www.swiggy.com/dapi/menu/pl?restaurantId=788383,bangalore,Whitefield,"Salads, Healthy food, Snacks, pastas, Lebanese, Mexican, Desserts, Beverages",4.3,1.0K+,1,0,₹600 for two
Aubree,https://www.swiggy.com/dapi/menu/pl?restaurantId=653239,bangalore,Whitefield,"Desserts, Bakery",4.4,1.8K+,1,0,₹800 for two
Wendy's Burgers,https://www.swiggy.com/dapi/menu/pl?restaurantId=779830,bangalore,WHITEFIELD,"Burgers, American, Fast Food, Snacks",4.1,2.2K+,1,0,₹400 for two
Bakingo,https://www.swiggy.com/dapi/menu/pl?restaurantId=550793,bangalore,Whitefield,"Bakery, Desserts, Beverages, Snacks",4.6,6.5K+,1,0,₹299 for two
LeanCrust Pizza- ThinCrust Experts,https://www.swiggy.com/dapi/menu/pl?restaurantId=681438,bangalore,Whitefield,"Pizzas, Italian, Desserts",4.7,1.1K+,1,0,₹300 for two
Saladspoint,https://www.swiggy.com/dapi/menu/pl?restaurantId=806571,bangalore,Kadugodi,"Salads, Healthy food, Juices, Beverages",4.5,813,1,0,₹599 for two
Imperio Restaurant Since 2010,https://www.swiggy.com/dapi/menu/pl?restaurantId=28608,bangalore,Whitefield,"Biryani, Kebabs, South Indian, Tandoor, Beverages, Desserts, Ice Cream",4.2,56K+,1,0,₹500 for two
Grameen Kulfi,https://www.swiggy.com/dapi/menu/pl?restaurantId=393934,bangalore,Whitefield,"Ice Cream, Desserts",4.8,1.6K+,1,0,₹120 for two
ITC Sunfeast Baked Creations,https://www.swiggy.com/dapi/menu/pl?restaurantId=853142,bangalore,"Pattandur, Agrahara","bakery, dessert, Cakes & Pastries, Sweets",4.5,1.1K+,1,0,₹600 for two
Chaat Street,https://www.swiggy.com/dapi/menu/pl?restaurantId=25225,bangalore,Whitefield,"Snacks, Chaat, Street Food, Fast Food",4.3,16K+,1,0,₹200 for two
Popeyes,https://www.swiggy.com/dapi/menu/pl?restaurantId=861910,bangalore,Nexus Whitefield,"Burgers, Fast Food, Rolls & Wraps",4.2,2.6K+,1,0,₹350 for two
HRX by EatFit,https://www.swiggy.com/dapi/menu/pl?restaurantId=558768,bangalore,Whitefield,"Healthy Food, Salads, Burgers",4.4,855,1,0,₹450 for two
Madno - House of Sundaes and Waffles,https://www.swiggy.com/dapi/menu/pl?restaurantId=439641,bangalore,Whitefield,"Ice Cream, Desserts, Waffle",4,370,1,0,₹250 for two
SMOOR,https://www.swiggy.com/dapi/menu/pl?restaurantId=485215,bangalore,Whitefield,"Asian, Burgers, Italian, Thai, Sushi, Salads, Pastas, Pizzas, Mexican, Chinese",4.4,5.1K+,1,0,₹450 for two
Veg Meals By LunchBox,https://www.swiggy.com/dapi/menu/pl?restaurantId=263595,bangalore,Whitefield,"Thalis, North Indian, Biryani, South Indian, Desserts, Beverages",4.3,385,1,0,₹200 for two
Cheesecake & co.,https://www.swiggy.com/dapi/menu/pl?restaurantId=708971,bangalore,Whitefield,"Desserts, Bakery",4.6,1.8K+,1,0,₹500 for two
Pizza Hut,https://www.swiggy.com/dapi/menu/pl?restaurantId=372897,bangalore,Whitefield,Pizzas,4.2,7.2K+,1,0,₹300 for two
Mealy - Your Everyday Meal,https://www.swiggy.com/dapi/menu/pl?restaurantId=1213861,bangalore,Whitefield,"Street Food, North Indian, Beverages",3.2,38,1,0,₹200 for two
KFC,https://www.swiggy.com/dapi/menu/pl?restaurantId=707063,bangalore,Varthur,"Burgers, Fast Food, Rolls & Wraps",3.9,4.9K+,1,0,₹400 for two
Domino's Pizza,https://www.swiggy.com/dapi/menu/pl?restaurantId=79466,bangalore,Whitefield,"Pizzas, Italian, Pastas, Desserts",4.2,17K+,1,0,₹400 for two
Nizaams Kaati Rolls,https://www.swiggy.com/dapi/menu/pl?restaurantId=859789,bangalore,Whitefield,"Fast Food, Rolls & Wraps, Kebabs",4.4,595,1,0,₹500 for two
Samosa Party,https://www.swiggy.com/dapi/menu/pl?restaurantId=312661,bangalore,Whitefield,"Fast Food, Snacks, Beverages, Chaat, North Indian, Street Food, Sweets, Desserts, Punjabi, Bakery",4.3,10K+,1,0,₹150 for two
Sandwich 2 Poha,https://www.swiggy.com/dapi/menu/pl?restaurantId=1072500,bangalore,Whitefield,"North Indian, sandwich",4.5,998,1,0,₹350 for two
California Burrito,https://www.swiggy.com/dapi/menu/pl?restaurantId=1027456,bangalore,Whitefield,"Mexican, American, Salads, Continental, Keto, Healthy Food, Beverages, Snacks, Desserts, Fast Food",4.6,2.6K+,1,0,₹250 for two
Pizza Hut,https://www.swiggy.com/dapi/menu/pl?restaurantId=10576,bangalore,Koramangala,Pizzas,4.3,22K+,1,0,₹350 for two
KFC,https://www.swiggy.com/dapi/menu/pl?restaurantId=671928,bangalore,Koramangla,"Burgers, Fast Food, Rolls & Wraps",4.2,6.8K+,1,0,₹400 for two
Burger King,https://www.swiggy.com/dapi/menu/pl?restaurantId=341867,bangalore,BTM,"Burgers, American",4.3,7.9K+,1,0,₹350 for two
McDonald's,https://www.swiggy.com/dapi/menu/pl?restaurantId=23678,bangalore,Koramangala,"Burgers, Beverages, Cafe, Desserts",4.4,66K+,1,0,₹400 for two
Domino's Pizza,https://www.swiggy.com/dapi/menu/pl?restaurantId=23786,bangalore,Koramangala,"Pizzas, Italian, Pastas, Desserts",4.4,21K+,1,0,₹400 for two
Bakingo,https://www.swiggy.com/dapi/menu/pl?restaurantId=50467,bangalore,Koramangala,"Bakery, Desserts, Beverages, Snacks",4.5,13K+,1,0,₹300 for two
Paris Panini - Gourmet Sandwiches & Wraps,https://www.swiggy.com/dapi/menu/pl?restaurantId=717421,bangalore,Koramangala,"sandwich, wrap, Fast Food, Pastas, Italian, Salads, Healthy Food, Desserts, Continental",4.6,5.4K+,1,0,₹500 for two
Chinita Real Mexican Food,https://www.swiggy.com/dapi/menu/pl?restaurantId=41913,bangalore,Koramangala,"Mexican, Salads, Desserts, Beverages",4.6,8.2K+,1,0,₹750 for two
Candice's Gourmet Sandwiches & Wraps,https://www.swiggy.com/dapi/menu/pl?restaurantId=158855,bangalore,BTM,"Salads, sandwich, Snacks",4.6,4.6K+,1,0,₹600 for two
Chaayos Chai+Snacks=Relax,https://www.swiggy.com/dapi/menu/pl?restaurantId=263485,bangalore,Kormangala,"Bakery, Beverages, Chaat, Desserts, Home Food, Italian, Maharashtrian, Snacks, Street Food, Sweets",4.5,5.8K+,1,0,₹250 for two
The Pizza Bakery - Wood Fired Sourdough,https://www.swiggy.com/dapi/menu/pl?restaurantId=718430,bangalore,Koramangala,"Pizzas, Pastas, Italian, Desserts, Continental, Beverages",4.5,3.3K+,1,0,₹700 for two
Caterspoint,https://www.swiggy.com/dapi/menu/pl?restaurantId=733092,bangalore,HSR,"Salads, Healthy food, Snacks, pastas, Lebanese, Mexican, Desserts, Beverages",4.4,3.1K+,1,0,₹500 for two
Chinese Wok,https://www.swiggy.com/dapi/menu/pl?restaurantId=393840,bangalore,BTM,"Chinese, Asian, Tibetan, Desserts",4.2,6.9K+,1,0,₹250 for two
Taco Bell,https://www.swiggy.com/dapi/menu/pl?restaurantId=11211,bangalore,Koramangala,"Mexican, Fast Food, Snacks",4.4,26K+,1,0,₹300 for two
Burgerama,https://www.swiggy.com/dapi/menu/pl?restaurantId=690684,bangalore,Koramangala,American,4.3,3.2K+,1,0,₹700 for two
LeanCrust Pizza- ThinCrust Experts,https://www.swiggy.com/dapi/menu/pl?restaurantId=780133,bangalore,KORAMANGALA,"Pizzas, Italian, Desserts",4.5,426,1,0,₹300 for two
Sweet Chariot,https://www.swiggy.com/dapi/menu/pl?restaurantId=53606,bangalore,Koramangala,Desserts,4.5,3.4K+,1,0,₹500 for two
Dum Safar Biryani,https://www.swiggy.com/dapi/menu/pl?restaurantId=586682,bangalore,Koramangala,"Biryani, Hyderabadi, Kebabs, North Indian, barbeque",3.6,817,1,0,₹500 for two
Samosa Party,https://www.swiggy.com/dapi/menu/pl?restaurantId=74444,bangalore,Koramangala,"Fast Food, Snacks, Beverages, Chaat, North Indian, Street Food, Sweets, Desserts, Punjabi, Bakery",4.4,19K+,1,0,₹100 for two
Starbucks Coffee,https://www.swiggy.com/dapi/menu/pl?restaurantId=238806,bangalore,BTM Layout,"Beverages, Cafe, Snacks, Desserts, Bakery, Ice Cream",4.6,2.5K+,1,0,₹400 for two
Pizza Hut,https://www.swiggy.com/dapi/menu/pl?restaurantId=10576,bangalore,Koramangala,Pizzas,4.3,22K+,1,0,₹350 for two
Mealy - Your Everyday Meal,https://www.swiggy.com/dapi/menu/pl?restaurantId=1087169,bangalore,Koramangala,"North Indian, Street Food, Beverages",3.9,39,1,0,₹200 for two
KFC,https://www.swiggy.com/dapi/menu/pl?restaurantId=671928,bangalore,Koramangla,"Burgers, Fast Food, Rolls & Wraps",4.2,6.8K+,1,0,₹400 for two
Burger King,https://www.swiggy.com/dapi/menu/pl?restaurantId=341867,bangalore,BTM,"Burgers, American",4.3,7.9K+,1,0,₹350 for two
McDonald's,https://www.swiggy.com/dapi/menu/pl?restaurantId=23678,bangalore,Koramangala,"Burgers, Beverages, Cafe, Desserts",4.4,66K+,1,0,₹400 for two
Litti Heist,https://www.swiggy.com/dapi/menu/pl?restaurantId=619503,bangalore,Koramangala,"North Indian, Bihari",4.3,17K+,1,0,₹200 for two
Nahdi Mandi Restaurant,https://www.swiggy.com/dapi/menu/pl?restaurantId=769775,bangalore,BTM Layout,"Biryani, Arabian",4.3,10K+,1,0,₹450 for two
Moms Dabba,https://www.swiggy.com/dapi/menu/pl?restaurantId=902452,bangalore,Koramangala,North Indian,4.4,1.9K+,1,0,₹400 for two
Pizza Hut,https://www.swiggy.com/dapi/menu/pl?restaurantId=10576,bangalore,Koramangala,Pizzas,4.3,22K+,1,0,₹350 for two
KFC,https://www.swiggy.com/dapi/menu/pl?restaurantId=671928,bangalore,Koramangla,"Burgers, Fast Food, Rolls & Wraps",4.2,6.8K+,1,0,₹400 for two
Burger King,https://www.swiggy.com/dapi/menu/pl?restaurantId=341867,bangalore,BTM,"Burgers, American",4.3,7.9K+,1,0,₹350 for two
McDonald's,https://www.swiggy.com/dapi/menu/pl?restaurantId=23678,bangalore,Koramangala,"Burgers, Beverages, Cafe, Desserts",4.4,66K+,1,0,₹400 for two
Domino's Pizza,https://www.swiggy.com/dapi/menu/pl?restaurantId=23786,bangalore,Koramangala,"Pizzas, Italian, Pastas, Desserts",4.4,21K+,1,0,₹400 for two
Bakingo,https://www.swiggy.com/dapi/menu/pl?restaurantId=50467,bangalore,Koramangala,"Bakery, Desserts, Beverages, Snacks",4.5,13K+,1,0,₹300 for two
Paris Panini - Gourmet Sandwiches & Wraps,https://www.swiggy.com/dapi/menu/pl?restaurantId=717421,bangalore,Koramangala,"sandwich, wrap, Fast Food, Pastas, Italian, Salads, Healthy Food, Desserts, Continental",4.6,5.4K+,1,0,₹500 for two
Chinita Real Mexican Food,https://www.swiggy.com/dapi/menu/pl?restaurantId=41913,bangalore,Koramangala,"Mexican, Salads, Desserts, Beverages",4.6,8.2K+,1,0,₹750 for two
Candice's Gourmet Sandwiches & Wraps,https://www.swiggy.com/dapi/menu/pl?restaurantId=158855,bangalore,BTM,"Salads, sandwich, Snacks",4.6,4.6K+,1,0,₹600 for two
